"Martyrs de la Résistance";"P348";"VENISSIEUX";"COMMUNE";"COMMUNE";"Rue des Martyrs de la Résista*";"Rue des Martyrs de la Résista*";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"200";"0";"0";"0";"6";"Libre";"Gratuit";"Fermé pour travaux";"";"18";"4.869855249894744";"45.69079454035096"
"Hôtel de Ville";"P346";"VENISSIEUX";"COMMUNE";"COMMUNE";"Rue Gambetta";"Rue Gambetta";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"160";"0";"0";"0";"4";"Libre";"Gratuit";"Ouvert 24h/24h";"";"19";"4.883690107778739";"45.69706477744256"
"Mairie";"P623";"GRIGNY";"";"";"Avenue Jean Estragnat";"Avenue Jean Estragnat";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"35";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"20";"4.789112830668759";"45.608484680510266"
"Place de la Mutualité";"P302";"CRAPONNE";"GRAND LYON";"GRAND LYON";"Rue de Verdun";"Rue de Verdun";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"5";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"21";"4.722656665415478";"45.742589696705004"
"Parking provisoire Parc L. Dupie";"P350";"VENISSIEUX";"GRAND LYON";"GRAND LYON";"Rue Jean Macé";"Rue Jean Macé";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"22";"0";"0";"0";"0";"Libre";"Zone bleue";"Ouvert 24h/24h";"";"22";"4.884570289033673";"45.698294375765094"
"Collège Emile Malfroy";"P624";"GRIGNY";"GRAND LYON";"GRAND LYON";"Rue de la République";"Rue de la République";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"35";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"23";"4.786837033377233";"45.60740689274889"
"Place de la Mairie";"P276";"COLLONGES-AU-MONT-D'OR";"GRAND LYON";"GRAND LYON";"Rue du Maréchal Foch";"Rue du Maréchal Foch";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"11";"0";"0";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"";"24";"4.840238077049695";"45.823502576029995"
"Edmond Chervet";"P627";"GRIGNY";"GRAND LYON";"GRAND LYON";"Rue Jean Durand";"Rue Jean Durand";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"17";"0";"0";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"";"25";"4.787264881379556";"45.60760462287003"
"Diderot";"P336";"OULLINS";"COMMUNE";"COMMUNE";"Rue Diderot";"Rue Diderot";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"20";"";"";"";"";"Libre";"Gratuit";"Ouvert 24h/24h";"";"26";"4.809242408609307";"45.71341664036082"
"Prison de Corbas";"P284";"CORBAS";"ETAT";"ETAT";"Boulevard des Nations";"Boulevard des Nations";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"78";"";"";"";"4";"Libre";"Gratuit";"Ouvert 24h/24h";"";"27";"4.931943862527777";"45.67750083115891"
"Parking Célestins";"P12";"Lyon 2 ème";"GRAND LYON";"LPA";"Rue Gaspard André";"Rue Charles Dullin";"Existant";"1992";"Parc concédé GL";"En ouvrage (sous-sol)";"Oui";"1.9";"411";"40";"55";"2";"";"Mixte";"Payant";"Ouvert 24h/24h";"";"28";"4.831162786532187";"45.75983035673727"
"Parking Antonin Poncet";"P13";"Lyon 2 ème";"GRAND LYON";"LPA";"Quai Gailleton";"Quai Gailleton";"Existant";"1986";"Parc concédé GL";"En ouvrage (sous-sol)";"Oui";"1.8";"709";"24";"56";"3";"";"Mixte";"Payant";"Ouvert 24h/24h";"";"29";"4.835707302163014";"45.75628624749912"
"Parking Terreaux";"P2";"Lyon 1 er";"GRAND LYON";"LPA";"Rue d'Algérie";"Rue Ste Marie des Terreaux";"Existant";"1992";"Parc concédé GL";"En ouvrage (sous-sol)";"Oui";"1.9";"641";"174";"118";"6";"";"Mixte";"Payant";"Ouvert 24h/24h";"";"30";"4.83249335405674";"45.767593628641976"
"Parking Récamier";"P5";"Lyon 2 ème";"GRAND LYON";"SAJR";"Quai Gailleton";"Quai Gailleton";"Existant";"1992";"Parc concédé GL";"En ouvrage (sous-sol)";"Non";"2";"176";"0";"0";"";"";"Mixte";"Payant";"Ouvert 24h/24h";"";"31";"4.830952281527922";"45.749519398282146"
"Venissy";"P351";"VENISSIEUX";"COMMUNE";"COMMUNE";"Rue Aristide Bruant";"Rue Aristide Bruant";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"25";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"32";"4.869945327892085";"45.69640611440181"
"Edouard Brenot";"P625";"GRIGNY";"GRAND LYON";"GRAND LYON";"Rue Gilbert Bernard";"Rue Gilbert Bernard";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"35";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"33";"4.787771773388322";"45.60642586267461"
"Salle polyvalente";"P256";"CHARLY";"COMMUNE";"COMMUNE";"Rue du Malpas";"Rue du Malpas";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"38";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"34";"4.794342406883283";"45.65254784180001"
"Jean-Baptiste Freney";"P254";"CHARLY";"GRAND LYON";"GRAND LYON";"Rue Jean-Baptiste Frenet";"Rue Jean-Baptiste Frenet";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"34";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"35";"4.794663558079883";"45.648371617730724"
"Estragnat";"P626";"GRIGNY";"GRAND LYON";"GRAND LYON";"Avenue Jean Estragnat";"Avenue Jean Estragnat";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"30";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"36";"4.788384353473963";"45.60778851615633"
"Parking supérieur de la M@ison de la formation";"P628";"GRIGNY";"PRIVE";"PRIVE";"Rue Marcel Paul";"Rue Marcel Paul";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"35";"0";"0";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"";"37";"4.780351131963341";"45.60876517349014"
"Parking inférieur de la M@ison de la formation";"P629";"GRIGNY";"PRIVE";"PRIVE";"Rue des Arrondières";"Rue des Arrondières";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"25";"0";"0";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"";"38";"4.779577030285568";"45.60876639474828"
"Paul Barbusse";"P595";"VENISSIEUX";"GRAND LYON";"GRAND LYON";"Avenue Marcel Paul";"Avenue Marcel Paul";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"16";"0";"0";"0";"2";"Libre";"Gratuit";"Marché";"mercredi matin et dimanche matin";"39";"4.882032304391216";"45.69947566620573"
"Paul Picard";"P344";"VENISSIEUX";"GRAND LYON";"GRAND LYON";"Avenue Marcel Paul";"Avenue Marcel Paul";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"20";"0";"0";"0";"2";"Libre";"Zone bleue";"Ouvert 24h/24h";"";"40";"4.881838471936975";"45.69995769598369"
"Balmes/Deschamps";"P597";"VENISSIEUX";"GRAND LYON";"GRAND LYON";"Rue Joseph Deschamps";"Rue Joseph Deschamps";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"30";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"41";"4.89259511637104";"45.72374364820489"
"Poste Rancé";"P383";"GENAY";"GRAND LYON";"GRAND LYON";"Rue de la Grande Verchère";"Rue des Terreaux";"Existant";"1997";"Aire de covoiturage";"En surface";"Non";"";"50";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"42";"4.842712110089657";"45.89798541988637"
"Place Anatole France";"P340";"OULLINS";"GRAND LYON";"GRAND LYON";"Rue Voltaire";"Rue Voltaire";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"100";"";"";"";"1";"Horaire";"Payant";"Marché";"mardi matin + jeudi matin";"43";"4.804871903875231";"45.71420447175485"
"Parking Gare Part Dieu";"P17";"Lyon 3 ème";"GRAND LYON";"LPA";"Rue de la Villette";"Rue de la Villette";"Existant";"1980";"Parc concédé GL";"En ouvrage (sous-sol)";"Non";"1.9";"1757";"27";"39";"";"";"Mixte";"Payant";"Ouvert 24h/24h";"";"44";"4.861735631454734";"45.760595865449545"
"Police Municipale";"P419";"SAINT-FONS";"GRAND LYON";"GRAND LYON";"Avenue Charles de Gaulle";"Avenue Charles de Gaulle";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"35";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"45";"4.852209801050329";"45.71074318401196"
"Centre Commercial Arsenal";"P422";"SAINT-FONS";"GRAND LYON";"GRAND LYON";"Rue Robert Reynier";"Rue Robert Reynier";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"13";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"46";"4.860928459699709";"45.710171331145695"
"Valence";"P424";"SAINT-FONS";"GRAND LYON";"GRAND LYON";"Rue de Valence";"Rue de Valence";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"10";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"47";"4.855747506181347";"45.69507061027419"
"Pasteur";"P412";"SAINT-FONS";"GRAND LYON";"GRAND LYON";"Rue Pasteur";"Rue Pasteur";"Existant";"";"Poche de stationnement";"En surface";"Non";"2.5";"19";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"48";"4.856430758227702";"45.70585657282853"
"Merle Rouge (ilot des Platanes)";"P418";"SAINT-FONS";"COMMUNE";"COMMUNE";"Rue Gambetta";"Rue Gambetta";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"6";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"49";"4.853249051824658";"45.707853412864075"
"Platanes - sud (provisoire)";"P417";"SAINT-FONS";"GRAND LYON";"GRAND LYON";"Rue des Platanes";"Rue des Platanes";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"14";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"50";"4.854796977331163";"45.70755592639173"
"Jean Jaurès";"P435";"SAINT-FONS";"GRAND LYON";"GRAND LYON";"Avenue Jean Jaurès";"Avenue Jean Jaurès";"Existant";"";"Poche de stationnement";"En surface";"Non";"2.5";"46";"0";"0";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"";"51";"4.855009026549811";"45.711169640147475"
"Thirard";"P437";"SAINT-FONS";"GRAND LYON";"GRAND LYON";"Rue de la Tannerie";"Rue Thirard";"Existant";"2011";"Poche de stationnement";"En surface";"Non";"2.5";"11";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"52";"4.859905773270605";"45.709735579054254"
"Deperet Alaï";"P482";"TASSIN-LA-DEMI-LUNE";"GRAND LYON";"GRAND LYON";"Rond-point d'Alaï";"Rue du Professeur Deperet";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"9";"0";"2";"0";"1";"Horaire";"Payant";"Ouvert 24h/24h";"Horodateurs 2h";"53";"4.765905171730029";"45.75085781714915"
"Atrium";"P487";"TASSIN-LA-DEMI-LUNE";"COMMUNE";"COMMUNE";"Avenue des Cosmos";"Avenue des Cosmos";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"61";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"54";"4.771433008703289";"45.7594000360633"
"Gare de Tassin";"P92";"TASSIN-LA-DEMI-LUNE";"RFF";"SNCF";"Allée des Tilleuls";"Allée des Tilleuls";"Existant";"";"P+R Gare";"En surface";"Non";"";"60";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"Lyon-L'Arbresle-Sain Bel";"55";"4.75978467679336";"45.76144549111933"
"Valvert";"P484";"TASSIN-LA-DEMI-LUNE";"GRAND LYON";"GRAND LYON";"Chemin du Vieux Moulin";"Ch. du Vieux Moulin/Bd Valvert";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"77";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"56";"4.778271070534934";"45.76589630249971"
"Poste annexe";"P480";"TASSIN-LA-DEMI-LUNE";"COMMUNE";"COMMUNE";"Rue du Professeur Deperet";"Rue du Professeur Deperet";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"24";"2";"0";"0";"0";"Horaire";"Payant";"Ouvert 24h/24h";"Horodateurs 9h";"57";"4.760641719297088";"45.76033802762872"
"Beaux ombrages";"P479";"TASSIN-LA-DEMI-LUNE";"GRAND LYON";"GRAND LYON";"Rue du Professeur Deperet";"Rue du Professeur Deperet";"Existant";"2007";"Poche de stationnement";"En surface";"";"";"17";"0";"10";"0";"0";"Horaire";"Payant";"Ouvert 24h/24h";"Horodateurs 9h";"58";"4.760469332881267";"45.760672778478465"
"Deperet Bourg";"P481";"TASSIN-LA-DEMI-LUNE";"GRAND LYON";"GRAND LYON";"Rue du Professeur Deperet";"Rue du Professeur Deperet";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"10";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"59";"4.761000576946014";"45.75991113544323"
"Gare d'Ecully-la-Demi-Lune";"P94";"TASSIN-LA-DEMI-LUNE";"RFF";"SNCF";"Place de la Gare";"Place de la Gare";"Existant";"";"P+R Gare";"En surface";"Non";"";"112";"0";"12";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"Lyon-L'Arbresle-Sain Bel";"60";"4.779330181671234";"45.76555483342642"
"Horloge";"P477";"TASSIN-LA-DEMI-LUNE";"SYTRAL";"";"Av. République/Mtée de Verdun";"Montée de Verdun";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"105";"0";"0";"0";"3";"Horaire";"Payant";"Ouvert 24h/24h";"Horodateurs";"61";"4.78292925193608";"45.763090378123906"
"Boulodrome";"P490";"LA TOUR-DE-SALVAGNY";"COMMUNE";"COMMUNE";"Allée du Lac";"Allée du Lac";"Existant";"";"Poche de stationnement";"En surface";"Non";"1.9";"93";"0";"0";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"";"62";"4.720197642687127";"45.80607557029024"
"Place Colette Besson";"P387";"GENAY";"GRAND LYON";"GRAND LYON";"Rue de la Gare";"Rue de la Gare";"Existant";"2003";"Poche de stationnement";"En surface";"Non";"";"29";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"63";"4.83834915071787";"45.898410824343486"
"Square Grimaud";"P587";"BRON";"COMMUNE";"COMMUNE";"Rue Roger Salengro";"Rue Roger Salengro";"Existant";"";"Poche de stationnement";"En surface";"Non";"2";"28";"0";"0";"0";"4";"Libre";"Zone bleue";"Ouvert 24h/24h";"";"64";"4.908810399945203";"45.732227447168974"
"Place Jean Moulin";"P589";"BRON";"GRAND LYON";"GRAND LYON";"Rue Louis Pergaud";"Rue de Lessivas";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"100";"0";"4";"0";"0";"Horaire";"Gratuit";"Ouvert 24h/24h";"";"65";"4.919370542387957";"45.7425313393483"
"Place Ringsheim";"P619";"ALBIGNY-SUR-SAONE";"COMMUNE";"COMMUNE";"Chemin du Trou à Chat";"Chemin du Trou à Chat";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"23";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"66";"4.833015267944791";"45.86759837496719"
"Gare d'Albigny-Neuville";"P70";"ALBIGNY-SUR-SAONE";"RFF";"SNCF";"Place de la Gare";"Place de la Gare";"Existant";"";"P+R Gare";"En surface";"Non";"1.9";"180";"6";"16";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"Lyon-Mâcon";"67";"4.833203283935904";"45.87460870654116"
"Parking Université";"P590";"BRON";"ETAT";"ETAT";"Avenue de l'Europe";"Avenue de l'Europe";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"300";"0";"0";"0";"15";"Libre";"Gratuit";"Ouvert 24h/24h";"";"68";"4.916019124488541";"45.72035813987443"
"Marcel Paul Ouest";"P611";"VENISSIEUX";"GRAND LYON";"GRAND LYON";"Avenue Marcel Paul";"Avenue Marcel Paul";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"10";"0";"0";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"";"69";"4.88220297828524";"45.69888261651626"
"Les Serres";"P596";"VENISSIEUX";"GRAND LYON";"GRAND LYON";"Avenue Marcel Paul";"Avenue Marcel Paul";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"15";"0";"0";"0";"2";"Libre";"Zone bleue";"Ouvert 24h/24h";"";"70";"4.881305249915942";"45.70034001630603"
"Rue du Musée";"P612";"ROCHETAILLEE-SUR-SAONE";"COMMUNE";"COMMUNE";"Rue du Musée";"Rue du Musée";"Existant";"1990";"Poche de stationnement";"En surface";"Non";"";"15";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"71";"4.836048848095158";"45.841157069538724"
