"Criter13456843";"noRestriction";"real";"NetworkManagement";"";"2017-09-01 18:09:16";"2017-09-09 21:30:30";"1";"2017-09-01 18:09:16";"2017-09-01 18:09:16";"certain";"active";"2017-09-09 21:30:30";"2017-09-10 05:00:30";"0";"21h30/5h Pont Koenig -> Lyon 9|Ensemble de l'ouvrage|Du 4 au 15 septembre
Travaux de voirie";"bothWays";"LYON-09";"TWG_ID:537";"";"";"roadClosed";"";"";"";"CRITER";"70387";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13456842";"noRestriction";"real";"NetworkManagement";"";"2017-09-01 18:09:16";"2017-09-08 21:30:30";"1";"2017-09-01 18:09:16";"2017-09-01 18:09:16";"certain";"active";"2017-09-08 21:30:30";"2017-09-09 05:00:30";"0";"21h30/5h Pont Koenig -> Lyon 9|Ensemble de l'ouvrage|Du 4 au 15 septembre
Travaux de voirie";"bothWays";"LYON-09";"TWG_ID:537";"";"";"roadClosed";"";"";"";"CRITER";"70386";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13415618";"noRestriction";"real";"NetworkManagement";"";"2017-08-22 09:27:08";"2017-09-21 09:00:58";"1";"2017-08-22 09:27:08";"2017-08-22 09:27:08";"certain";"active";"2017-09-21 09:00:58";"2017-09-21 16:00:58";"0";"9h/16h Rue de Bonnel|Entre le quai Augagneur et le cours de la Liberté|Jusqu'au 22 septembre
Travaux de voirie";"bothWays";"LYON-03";"TWG_ID:35";"";"";"narrowLanes";"";"";"";"CRITER";"69798";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13434681";"noRestriction";"real";"Activities";"";"2017-08-28 18:44:35";"2017-09-18 09:00:07";"2";"2017-08-28 18:44:49";"2017-08-28 18:44:35";"certain";"active";"2017-09-18 09:00:07";"2017-09-18 18:00:07";"0";"Double Mixte|Aux abords du complexe|Le 18 septembre
Rencontre Nationale de la Torréfaction
Risque de perturbations";"bothWays";"VILLEURBANNE";"";"strike";"";"";"";"";"";"CRITER";"70073";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13433266";"noRestriction";"real";"Activities";"";"2017-08-28 15:41:17";"2017-09-30 20:00:00";"3";"2017-08-28 15:47:38";"2017-08-28 15:41:17";"certain";"active";"2017-09-30 20:00:00";"2017-09-30 22:30:00";"0";"20h Radiant Bellevue|Aux abords de la salle|Le 30 septembre
Spectacle Vincent Dedienne
Risque de perturbations";"bothWays";"CALUIRE-ET-CUIRE";"";"";"";"";"majorEvent";"";"";"CRITER";"70048";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13489724";"noRestriction";"real";"NetworkManagement";"";"2017-09-08 10:20:22";"2017-09-12 21:01:55";"1";"2017-09-08 10:20:22";"2017-09-08 10:20:22";"certain";"active";"2017-09-12 21:01:55";"2017-09-13 06:00:55";"0";"21h/6h A6 -> Paris|Entre Limonest et Anse|Du 11 au 14 septembre inclus
Travaux d'aménagement";"bothWays";"A6";"TWG_ID:1045";"";"";"roadClosed";"";"";"";"CRITER";"70751";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13454721";"noRestriction";"real";"NetworkManagement";"";"2017-09-01 14:41:27";"2017-09-22 08:00:33";"1";"2017-09-01 14:41:27";"2017-09-01 14:41:27";"certain";"active";"2017-09-22 08:00:33";"2017-09-22 17:00:33";"0";"8h/17h Cours Lafayette|Entre la rue Garibaldi et le boulevard Vivier Merle|Du 4 au 22 septembre
Travaux ligne de bus C3";"bothWays";"LYON-06";"TWG_ID:32";"";"";"narrowLanes";"";"";"";"CRITER";"70364";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13454720";"noRestriction";"real";"NetworkManagement";"";"2017-09-01 14:41:27";"2017-09-21 08:00:33";"1";"2017-09-01 14:41:27";"2017-09-01 14:41:27";"certain";"active";"2017-09-21 08:00:33";"2017-09-21 17:00:33";"0";"8h/17h Cours Lafayette|Entre la rue Garibaldi et le boulevard Vivier Merle|Du 4 au 22 septembre
Travaux ligne de bus C3";"bothWays";"LYON-06";"TWG_ID:32";"";"";"narrowLanes";"";"";"";"CRITER";"70363";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13489726";"noRestriction";"real";"NetworkManagement";"";"2017-09-08 10:20:22";"2017-09-14 21:01:55";"1";"2017-09-08 10:20:22";"2017-09-08 10:20:22";"certain";"active";"2017-09-14 21:01:55";"2017-09-15 06:00:55";"0";"21h/6h A6 -> Paris|Entre Limonest et Anse|Du 11 au 14 septembre inclus
Travaux d'aménagement";"bothWays";"A6";"TWG_ID:1045";"";"";"roadClosed";"";"";"";"CRITER";"70753";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
"Criter13489476";"noRestriction";"real";"NetworkManagement";"";"2017-09-08 09:37:38";"2017-09-11 08:00:38";"4";"2017-09-08 15:30:51";"2017-09-08 09:37:38";"certain";"active";"2017-09-11 08:00:38";"2017-10-27 17:00:38";"0";"Quai Jules Courmont -> Sud|Entre la rue Saint Bonaventure et la rue de Jussieu|Du 11 septembre au 27 octobre inclus
Travaux RTE";"bothWays";"LYON-02";"TWG_ID:551";"";"";"narrowLanes";"";"";"";"CRITER";"70744";"2017-09-08 17:29:01";"2017-09-08 17:29:30";"nonLinkedPoint";""
