"Station";"Polluant";"Mesure";"Unité";"Date";"Valeur"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 12:00\"";"38"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 12:00\"";"22"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 12:00\"";"31"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 13:00\"";"39"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 13:00\"";"22"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 13:00\"";"29"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 14:00\"";"45"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 14:00\"";"27"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 14:00\"";"30"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 15:00\"";"45"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 15:00\"";"19"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 15:00\"";"31"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 16:00\"";"46"
