"codefuv";"libelle";"libellereduit";"commune";"inseecommune";"nature";"motdirecteur";"categorie";"codefantoir";"importance";"commentaire";"datemiseajourattributs";"codefuvactu";"validite";"libelleactu";"domanialiteglobale";"denomroute";"datecreation";"datemajdomaglobale";"datemajgeometrie";"datemajattribtroncon";"dateabandondenom";"localise"
"27316";"Place du Port Neuville";"Pl du Port Neuville";"LYON 1ER";"69381";"Voie";"NEUVILLE";"PLACE";"6903815665B";"petite place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"03/03/2016";"02/10/1996";"";"Oui"
"27317";"Place du 157ème Régiment d'Infanterie Alpine";"Pl du 157ème Régiment d'Infanterie Alpine";"LYON 1ER";"69381";"Voie";"ALPINE";"PLACE";"6903811355S";"petite place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"19/11/1997";"19/11/1997";"";"Oui"
"27318";"Place Fernand Rey";"Pl Fernand Rey";"LYON 1ER";"69381";"Voie";"REY";"PLACE";"6903812715V";"petite place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"01/01/1996";"17/02/1998";"";"Oui"
"27319";"Place Gabriel Rambaud";"Pl Gabriel Rambaud";"LYON 1ER";"69381";"Voie";"RAMBAUD";"PLACE";"6903812940P";"moyenne place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"08/03/2016";"01/10/2003";"";"Oui"
"27320";"Place Louis Chazette";"Pl Louis Chazette";"LYON 1ER";"69381";"Voie";"CHAZETTE";"PLACE";"6903814320P";"grande place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"09/03/2016";"01/01/1996";"";"Oui"
"27321";"Place Louis Pradel";"Pl Louis Pradel";"LYON 1ER";"69381";"Voie";"PRADEL";"PLACE";"6903814340L";"moyenne place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"14/03/2016";"28/10/2002";"";"Oui"
"27322";"Place Lieutenant Morel";"Pl Lt Morel";"LYON 1ER";"69381";"Voie";"MOREL";"PLACE";"6903814240C";"moyenne place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"15/03/2016";"17/02/1998";"";"Oui"
"27324";"Place Michel Servet";"Pl Michel Servet";"LYON 1ER";"69381";"Voie";"SERVET";"PLACE";"6903814770D";"moyenne place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"22/10/2015";"24/09/2003";"";"Oui"
"27325";"Place Rouville";"Pl Rouville";"LYON 1ER";"69381";"Voie";"ROUVILLE";"PLACE";"6903816170A";"grande place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"03/03/2016";"04/09/1998";"";"Oui"
"27326";"Place Saint Nizier";"Pl St Nizier";"LYON 1ER";"69381";"Voie";"NIZIER";"PLACE";"6903816495D";"petite place";"";"10/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"08/03/2016";"01/01/1996";"";"Oui"
"27327";"Place Sathonay";"Pl Sathonay";"LYON 1ER";"69381";"Voie";"SATHONAY";"PLACE";"6903816680E";"grande place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"08/03/2016";"17/02/1998";"";"Oui"
"27328";"Place Saint Vincent";"Pl St Vincent";"LYON 1ER";"69381";"Voie";"VINCENT";"PLACE";"6903816585B";"petite place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"01/01/1996";"01/01/1996";"";"Oui"
"27329";"Place Tobie Robatel";"Pl Tobie Robatel";"LYON 1ER";"69381";"Voie";"ROBATEL";"PLACE";"6903817020Z";"moyenne place";"";"28/11/1997";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"08/03/2016";"24/09/2003";"";"Oui"
"27330";"Place Tolozan";"Pl Tolozan";"LYON 1ER";"69381";"Voie";"TOLOZAN";"PLACE";"6903817029J";"grande place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"09/03/2016";"08/08/2003";"";"Oui"
"27333";"Passage Donat";"Pas Donat";"LYON 1ER";"69381";"Voie";"DONAT";"PASSAGE";"6903812280X";"petite rue";"";"17/12/1996";"";"Actuelle";"";"Privé";"";"23/04/1986";"13/05/2015";"07/03/2016";"07/01/1998";"";"Oui"
"27334";"Passage Gonin";"Pas Gonin";"LYON 1ER";"69381";"Voie";"GONIN";"PASSAGE";"6903813275D";"petite rue";"";"17/12/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"02/10/1996";"17/02/1998";"";"Oui"
"27335";"Passage Mermet";"Pas Mermet";"LYON 1ER";"69381";"Voie";"MERMET";"PASSAGE";"6903814735R";"petite rue";"";"17/12/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"07/03/2016";"07/01/1998";"";"Oui"
"27337";"Passage Thiaffait";"Pas Thiaffait";"LYON 1ER";"69381";"Voie";"THIAFFAIT";"PASSAGE";"6903816975A";"petite rue";"";"17/12/1996";"";"Actuelle";"";"Privé";"";"23/04/1986";"13/05/2015";"07/03/2016";"24/07/2003";"";"Oui"
"27338";"Passage Tolozan";"Pas Tolozan";"LYON 1ER";"69381";"Voie";"TOLOZAN";"PASSAGE";"6903817025E";"petite rue";"";"17/12/1996";"";"Actuelle";"";"Privé";"";"23/04/1986";"13/05/2015";"01/01/1996";"01/01/1996";"";"Oui"
"27339";"Passage de la Vieille Monnaie";"Pas de la Vieille Monnaie";"LYON 1ER";"69381";"Voie";"MONNAIE";"PASSAGE";"6903817435A";"";"";"17/12/1996";"";"Supprimé";"";"";"";"27/04/1986";"";"";"";"13/10/1987";"Non"
"27340";"Pont de l'Homme de la Roche";"Pont de l'Homme de la Roche";"LYON 1ER";"69381";"Voie";"ROCHE";"PONT";"6903813568X";"";"";"06/06/1996";"";"Supprimé";"";"";"";"27/04/1986";"";"";"";"11/05/1987";"Non"
"27341";"Pont La Feuillée";"Pont La Feuillée";"LYON 1ER";"69381";"Voie";"FEUILLEE";"PONT";"6903812766A";"grande rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"08/03/2016";"22/10/2002";"";"Oui"
"27342";"Pont de Lattre de Tassigny";"Pont de Lattre de Tassigny";"LYON 1ER";"69381";"Voie";"TASSIGNY";"PONT";"6903812146B";"grande rue";"";"13/08/1997";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"09/03/2016";"17/01/2000";"";"Oui"
"27343";"Pont du Change";"Pont du Change";"LYON 1ER";"69381";"Voie";"CHANGE";"PONT";"6903811427V";"";"";"06/06/1996";"";"Supprimé";"";"";"";"23/04/1986";"";"";"";"23/01/1989";"Non"
"27344";"Pont Général Koenig";"Pont Gal Koenig";"LYON 1ER";"69381";"Voie";"KOENIG";"PONT";"6903813152V";"grande rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"01/01/1996";"01/01/1996";"";"Oui"
"27345";"Pont Morand";"Pont Morand";"LYON 1ER";"69381";"Voie";"MORAND";"PONT";"6903814854V";"grande rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"28/10/2002";"28/10/2002";"";"Oui"
